1	964	0.233776
1	969	0.229675
2	861	0.388741
2	991	0.150396
3	856	0.519136
3	859	0.433185
4	335	0.698804
4	700	0.427435
5	916	0.376543
5	975	0.258916
6	346	0.698804
6	410	0.62752
7	955	0.249766
7	989	0.0429367
8	648	0.474084
8	973	0.266051
9	281	0.698804
9	992	0.173232
10	958	0.325535
10	970	0.231058
11	914	0.247244
11	951	0.336699
12	798	0.441208
12	995	0.150388
13	664	0.590551
13	889	0.478807
14	816	0.26425
14	995	0.150388
15	659	0.590551
15	801	0.417904
16	916	0.376543
16	997	0.130978
17	500	0.708345
17	734	0.328941
18	309	0.103526
18	956	0.703424
19	37	0.698804
19	936	0.287451
20	351	0.698804
20	976	0.149199
21	949	0.707291
21	981	0.575386
22	780	0.569566
22	997	0.130978
23	427	0.62752
23	946	0.184114
24	105	0.931738
24	689	0.10838
25	859	0.189577
25	989	0.508806
26	948	0.261819
26	955	0.249766
27	966	0.232432
27	1000	0.111976
28	721	0.514022
28	837	0.211797
29	109	0.931738
29	673	0.593257
30	985	0.277269
30	999	0.12306
31	914	0.713114
31	992	0.845317
32	901	0.445649
32	992	0.173232
33	984	0.231741
33	986	0.183334
34	468	0.62752
34	991	0.150396
35	589	0.590551
35	995	0.150388
36	906	0.436869
36	959	0.289642
37	19	0.698804
37	981	0.0109241
38	977	0.169794
38	978	0.132506
39	958	0.325535
39	975	0.258916
40	461	0.62752
40	800	0.50687
41	938	0.180486
41	957	0.274252
42	702	0.514022
42	989	0.0429367
43	938	0.180486
43	982	0.193539
44	798	0.441208
44	888	0.279711
45	837	0.211797
45	928	0.286252
46	961	0.249835
46	991	0.150396
47	638	0.107177
47	863	0.71614
48	905	0.15997
48	918	0.292067
49	977	0.169794
49	978	0.132506
50	186	0.698804
50	960	0.237163
51	689	0.373823
51	921	0.20669
52	743	0.514022
52	941	0.314164
53	734	0.79481
53	962	0.864817
54	953	0.389284
54	986	0.183334
55	880	0.457413
55	981	0.109517
56	647	0.559381
56	995	0.150388
