1	2 
2	10 
3	12 
4	4 
5	15 
6	11 
7	14 
8	6 
9	5 
10	15 
11	12 
12	2 
13	5 
14	2 
15	9 
16	15 
17	1 
18	12 
19	7 
20	7 
21	7 
22	15 
23	1 
24	8 
25	14 
26	14 
27	3 
28	9 
29	8 
30	8 
31	12 
32	5 
33	13 
34	10 
35	2 
36	15 
37	7 
38	4 
39	15 
40	6 
41	1 
42	14 
43	1 
44	2 
45	9 
46	10 
47	7 
48	6 
49	4 
50	2 
51	9 
52	11 
53	1 
54	13 
55	7 
56	2 
57	15 
58	3 
59	8 
60	12 
61	4 
62	12 
63	8 
64	13 
65	12 
66	2 
67	7 
68	4 
69	9 
70	10 
71	3 
72	9 
73	10 
74	5 
75	10 
76	9 
77	8 
78	1 
79	2 
80	9 
81	3 
82	14 
83	5 
84	10 
85	3 
86	12 
87	10 
88	8 
89	1 
90	4 
91	11 
92	2 
93	14 
94	4 
95	8 
96	1 
97	14 
98	8 
99	9 
100	11 
101	12 
102	6 
103	14 
104	8 
105	8 
106	5 
107	12 
108	10 
109	8 
110	7 
111	1 
112	9 
113	7 
114	7 
115	10 
116	3 
117	14 
118	3 
119	1 
120	10 
121	9 
122	4 
123	6 
124	3 
125	11 
126	14 
127	8 
128	10 
129	1 
130	15 
131	2 
132	10 
133	15 
134	6 
135	7 
136	1 
137	1 
138	1 
139	5 
140	4 
141	10 
142	10 
143	13 
144	11 
145	10 
146	7 
147	14 
148	11 
149	15 
150	3 
151	8 
152	4 
153	10 
154	9 
155	10 
156	14 
157	6 
158	2 
159	14 
160	4 
161	2 
162	3 
163	6 
164	10 
165	7 
166	1 
167	12 
168	3 
169	7 
170	13 
171	13 
172	3 
173	4 
174	6 
175	15 
176	15 
177	15 
178	6 
179	8 
180	12 
181	5 
182	5 
183	7 
184	15 
185	10 
186	2 
187	10 
188	1 
189	2 
190	3 
191	3 
192	14 
193	4 
194	6 
195	10 
196	10 
197	4 
198	2 
199	7 
200	4 
201	9 
202	15 
203	15 
204	8 
205	1 
206	5 
207	12 
208	6 
209	9 
210	1 
211	5 
212	4 
213	4 
214	8 
215	10 
216	13 
217	4 
218	13 
219	14 
220	12 
221	5 
222	13 
223	7 
224	6 
225	3 
226	10 
227	4 
228	7 
229	11 
230	15 
231	10 
232	15 
233	9 
234	15 
235	15 
236	8 
237	8 
238	9 
239	9 
240	12 
241	2 
242	13 
243	8 
244	1 
245	3 
246	10 
247	4 
248	7 
249	10 
250	2 
251	4 
252	14 
253	4 
254	2 
255	5 
256	1 
257	3 
258	3 
259	1 
260	7 
261	8 
262	15 
263	11 
264	11 
265	12 
266	8 
267	12 
268	4 
269	4 
270	1 
271	13 
272	13 
273	11 
274	5 
275	13 
276	11 
277	6 
278	7 
279	4 
280	14 
281	5 
282	9 
283	8 
284	13 
285	5 
286	2 
287	14 
288	5 
289	8 
290	3 
291	7 
292	6 
293	3 
294	8 
295	13 
296	2 
297	1 
298	9 
299	11 
300	8 
301	8 
302	8 
303	6 
304	8 
305	1 
306	2 
307	6 
308	7 
309	7 
310	1 
311	5 
312	8 
313	15 
314	6 
315	12 
316	8 
317	2 
318	15 
319	8 
320	9 
321	6 
322	3 
